,TimeStamp,Force(N),RPM,Volts,Amps
0,150.004,0.1,180.0,0.0171152,0.32999999999999996
1,150.0222,0.1,180.0,0.0171152,0.345
2,150.0225,0.1,180.0,0.0171152,0.345
3,150.0227,0.1,180.0,0.0171152,0.345
4,150.0288,0.1,180.0,0.0171152,0.345
5,150.0369,0.1,180.0,0.0171152,0.345
6,150.038,0.1,180.0,0.0171152,0.44999999999999996
7,150.0451,0.1,180.0,0.0171152,0.44999999999999996
8,150.0532,0.1,180.0,0.0171152,0.44999999999999996
9,150.0539,0.1,180.0,0.0171152,0.315
10,150.0615,0.1,180.0,0.0171152,0.315
11,150.0697,0.1,180.0,0.0171152,0.315
12,150.07,0.1,180.0,0.0171152,0.39
13,150.0778,0.1,180.0,0.0171152,0.39
14,150.086,0.1,180.0,0.0171152,0.39
15,150.0862,0.1,180.0,0.0171152,0.345
16,150.0901,0.1,180.0,0.0171152,0.345
17,150.0959,0.1,180.0,0.0171152,0.345
18,150.0983,0.1,180.0,0.0171152,0.345
19,150.1183,0.1,180.0,0.0171152,0.315
20,150.1184,0.1,180.0,0.0171152,0.315
21,150.1185,0.1,180.0,0.0171152,0.315
22,150.1229,0.1,180.0,0.0171152,0.315
23,150.1311,0.1,180.0,0.0171152,0.315
24,150.134,0.1,180.0,0.0171152,0.3
25,150.1432,0.1,180.0,0.0171152,0.3
26,150.1516,0.1,180.0,0.0171152,0.3
27,150.152,0.1,180.0,0.0171152,0.3
28,150.1557,0.1,180.0,0.0171152,0.3
29,150.1638,0.1,180.0,0.0171152,0.3
30,150.166,0.1,180.0,0.0171152,0.345
31,150.1721,0.1,180.0,0.0171152,0.345
32,150.1801,0.1,180.0,0.0171152,0.345
33,150.1821,0.1,180.0,0.0171152,0.3
34,150.1883,0.1,180.0,0.0171152,0.3
35,150.1966,0.1,180.0,0.0171152,0.3
36,150.1979,0.1,180.0,0.0171152,0.44999999999999996
37,150.2047,0.1,180.0,0.0171152,0.44999999999999996
38,150.2129,0.1,208.0,0.0171152,0.44999999999999996
39,150.2211,0.1,208.0,0.0171152,0.44999999999999996
40,150.2293,0.1,208.0,0.0171152,0.44999999999999996
41,150.2299,0.1,208.0,0.0171152,0.42
42,150.2375,0.1,208.0,0.0171152,0.42
43,150.2456,0.1,208.0,0.0171152,0.42
44,150.2459,0.1,208.0,0.0171152,0.375
45,150.2539,0.1,208.0,0.0171152,0.375
46,150.2619,0.1,208.0,0.0171152,0.345
47,150.262,0.1,208.0,0.0171152,0.345
48,150.2702,0.1,208.0,0.0171152,0.345
49,150.2779,0.1,208.0,0.0171152,0.285
50,150.2784,0.1,208.0,0.0171152,0.285
51,150.2866,0.1,208.0,0.0171152,0.285
52,150.2939,0.1,208.0,0.0171152,0.285
53,150.2948,0.1,208.0,0.0171152,0.285
54,150.303,0.1,208.0,0.0171152,0.285
55,150.3112,0.1,208.0,0.0171152,0.285
56,150.3194,0.1,208.0,0.0171152,0.285
57,150.3277,0.1,208.0,0.0171152,0.285
58,150.3278,0.1,208.0,0.0171152,0.255
59,150.3358,0.1,208.0,0.0171152,0.255
60,150.3399,0.1,208.0,0.0171152,0.255
61,150.342,0.1,208.0,0.0171152,0.375
62,150.3481,0.1,208.0,0.0171152,0.375
63,150.3499,0.1,208.0,0.0171152,0.375
64,150.3563,0.1,208.0,0.0171152,0.375
65,150.3579,0.1,208.0,0.0171152,0.285
66,150.3644,0.1,208.0,0.0171152,0.285
67,150.3727,0.1,208.0,0.0171152,0.285
68,150.3739,0.1,208.0,0.0171152,0.32999999999999996
69,150.3808,0.1,208.0,0.0171152,0.32999999999999996
70,150.389,0.1,208.0,0.0171152,0.32999999999999996
71,150.3899,0.1,208.0,0.0171152,0.16499999999999998
72,150.3972,0.1,208.0,0.0171152,0.16499999999999998
73,150.4054,0.1,208.0,0.0171152,0.16499999999999998
74,150.4136,0.1,208.0,0.0171152,0.16499999999999998
75,150.4218,0.1,208.0,0.0171152,0.16499999999999998
76,150.4219,0.1,208.0,0.0171152,0.255
77,150.43,0.1,208.0,0.0171152,0.255
78,150.4378,0.1,208.0,0.0171152,0.16499999999999998
79,150.4382,0.1,208.0,0.0171152,0.16499999999999998
80,150.4463,0.1,208.0,0.0171152,0.16499999999999998
81,150.4539,0.1,208.0,0.0171152,0.27
82,150.4545,0.1,208.0,0.0171152,0.27
83,150.4627,0.1,208.0,0.0171152,0.27
84,150.4699,0.1,208.0,0.0171152,0.36
85,150.4709,0.1,208.0,0.0171152,0.36
86,150.4792,0.1,208.0,0.0171152,0.36
87,150.4859,0.1,208.0,0.0171152,0.255
88,150.4873,0.1,218.0,0.0171152,0.255
89,150.4955,0.1,218.0,0.0171152,0.255
90,150.5037,0.1,218.0,0.0171152,0.255
91,150.5119,0.1,218.0,0.0171152,0.255
92,150.5178,0.1,218.0,0.0171152,0.22499999999999998
93,150.5201,0.1,218.0,0.0171152,0.22499999999999998
94,150.5283,0.1,218.0,0.0171152,0.22499999999999998
95,150.5338,0.1,218.0,0.0171152,0.18
96,150.5365,0.1,218.0,0.0171152,0.18
97,150.5447,0.1,218.0,0.0171152,0.18
98,150.5528,0.1,218.0,0.0171152,0.18
99,150.5529,0.1,218.0,0.0171152,0.22499999999999998
100,150.5571,0.1,218.0,0.0171152,0.22499999999999998
101,150.5652,0.1,218.0,0.0171152,0.22499999999999998
102,150.5659,0.1,218.0,0.0171152,0.24
103,150.5734,0.1,218.0,0.0171152,0.24
104,150.5816,0.1,218.0,0.0171152,0.24
105,150.5818,0.1,218.0,0.0171152,0.32999999999999996
106,150.5897,0.1,218.0,0.0171152,0.32999999999999996
107,150.6141,0.1,218.0,0.0171152,0.285
108,150.6144,0.1,218.0,0.0171152,0.285
109,150.6146,0.1,218.0,0.0171152,0.285
110,150.6147,0.1,218.0,0.0171152,0.285
111,150.6225,0.1,218.0,0.0171152,0.285
112,150.6299,0.1,218.0,0.0171152,0.255
113,150.6307,0.1,218.0,0.0171152,0.255
114,150.6389,0.1,218.0,0.0171152,0.255
115,150.6459,0.1,218.0,0.0171152,0.16499999999999998
116,150.647,0.1,218.0,0.0171152,0.16499999999999998
117,150.6552,0.1,218.0,0.0171152,0.16499999999999998
118,150.6618,0.1,218.0,0.0171152,0.18
119,150.6634,0.1,218.0,0.0171152,0.18
120,150.6716,0.1,218.0,0.0171152,0.18
121,150.6778,0.1,218.0,0.0171152,0.15
122,150.6798,0.1,218.0,0.0171152,0.15
123,150.688,0.1,218.0,0.0171152,0.15
124,150.6938,0.1,218.0,0.0171152,0.21
125,150.6962,0.1,218.0,0.0171152,0.21
126,150.7044,0.1,218.0,0.0171152,0.21
127,150.7126,0.1,218.0,0.0171152,0.21
