,Force(N),RPM,Volts,Amps
0,30.050000000000004,750.0,30.050000000000004,3.1199998894147827
1,30.65000000043105,450.0,30.65000000043105,1.8750000857812767
2,30.199999999999996,770.0,30.199999999999996,2.415357142857297
3,34.6,630.0,34.6,3.750929029015311
4,32.35,390.0,32.35,2.55000325957565
5,34.349999999999994,650.0,34.349999999999994,3.3451470587770573
6,34.60001361655773,610.0,34.60001361655773,4.252500248092378
7,27.15,270.0,27.15,1.154999996416503
8,32.6,530.0,32.6,3.0449999794854476
9,35.6,590.0,35.6,4.545237529691188
10,31.100000000000005,470.0,31.100000000000005,2.3699972049090796
11,32.4,410.0,32.4,2.261666671298374
12,26.4,250.0,26.4,0.8999405940594115
13,33.550000000000004,670.0,33.550000000000004,2.9999999905555463
14,28.149999999999995,290.0,28.149999999999995,2.5798996655556694
15,30.550000000000004,710.0,30.550000000000004,2.474908759124069
16,34.25,550.0,34.25,2.9268749042564846
17,30.3,730.0,30.3,2.6550000013897073
18,32.65,490.0,32.65,3.689999919717563
19,31.45,690.0,31.45,2.819999993678598
20,32.1,430.0,32.1,2.2500063746011816
21,31.0,370.0,31.0,2.9100439560439253
22,31.8,350.0,31.8,1.8299985388411946
23,30.50033143939394,310.0,30.50033143939394,2.043636470555084
24,33.45,570.0,33.45,2.2500350467253454
25,28.849999999999998,790.0,28.849999999999998,2.6099999999998764
26,28.850000000000005,810.0,28.850000000000005,2.235324983530962
27,32.65,510.0,32.65,3.3001184210880843
