,TimeStamp,Force(N),RPM,Volts,Amps
0,67.0078,20.75,219.0,0.0171152,1.635
1,67.0155,20.75,219.0,0.0171152,1.635
2,67.0237,20.75,219.0,0.0171152,1.635
3,67.0254,20.75,219.0,0.0171152,1.905
4,67.0319,20.75,219.0,0.0171152,1.905
5,67.0401,20.75,219.0,0.0171152,1.905
6,67.0414,20.75,219.0,0.0171152,1.785
7,67.0483,20.75,219.0,0.0171152,1.785
8,67.0566,20.75,219.0,0.0171152,1.785
9,67.0575,20.75,219.0,0.0171152,1.7999999999999998
10,67.0648,20.75,219.0,0.0171152,1.7999999999999998
11,67.0726,21.95,219.0,0.0171152,1.7999999999999998
12,67.0728,21.95,219.0,0.0171152,1.7999999999999998
13,67.0734,21.95,219.0,0.0171152,1.7999999999999998
14,67.0811,21.95,219.0,0.0171152,1.7999999999999998
15,67.0895,21.95,219.0,0.0171152,1.7999999999999998
16,67.0897,21.95,219.0,0.0171152,1.635
17,67.0934,21.95,219.0,0.0171152,1.635
18,67.1016,21.95,219.0,0.0171152,1.635
19,67.1097,21.95,219.0,0.0171152,1.635
20,67.1179,21.95,219.0,0.0171152,1.635
21,67.1214,21.95,219.0,0.0171152,1.71
22,67.1261,21.95,230.0,0.0171152,1.71
23,67.1343,21.95,230.0,0.0171152,1.71
24,67.1374,21.95,230.0,0.0171152,1.365
25,67.1425,21.95,230.0,0.0171152,1.365
26,67.1507,21.95,230.0,0.0171152,1.365
27,67.1534,21.95,230.0,0.0171152,1.635
28,67.1589,21.95,230.0,0.0171152,1.635
29,67.1671,21.95,230.0,0.0171152,1.635
30,67.1694,21.95,230.0,0.0171152,1.4549999999999998
31,67.1752,21.95,230.0,0.0171152,1.4549999999999998
32,67.1834,21.95,230.0,0.0171152,1.4549999999999998
33,67.1854,21.95,230.0,0.0171152,1.665
34,67.1916,21.95,230.0,0.0171152,1.665
35,67.1998,21.95,230.0,0.0171152,1.665
36,67.2018,21.95,230.0,0.0171152,1.665
37,67.208,21.95,230.0,0.0171152,1.665
38,67.2224,21.1,230.0,0.0171152,1.665
39,67.2226,21.1,230.0,0.0171152,1.56
40,67.2244,21.1,230.0,0.0171152,1.56
41,67.2327,21.1,230.0,0.0171152,1.56
42,67.2334,21.1,230.0,0.0171152,1.665
43,67.2408,21.1,230.0,0.0171152,1.665
44,67.249,21.1,230.0,0.0171152,1.665
45,67.2495,21.1,230.0,0.0171152,1.665
46,67.2572,21.1,230.0,0.0171152,1.665
47,67.2655,21.1,230.0,0.0171152,1.665
48,67.2656,21.1,230.0,0.0171152,1.53
49,67.2736,21.1,230.0,0.0171152,1.53
50,67.2818,21.1,230.0,0.0171152,1.53
51,67.2819,21.1,230.0,0.0171152,1.755
52,67.286,21.1,230.0,0.0171152,1.755
53,67.2941,21.1,230.0,0.0171152,1.755
54,67.3137,21.1,230.0,0.0171152,1.425
55,67.3138,21.1,230.0,0.0171152,1.425
56,67.314,21.1,230.0,0.0171152,1.425
57,67.3186,21.1,230.0,0.0171152,1.425
58,67.3268,21.1,230.0,0.0171152,1.425
59,67.3294,21.1,230.0,0.0171152,1.89
60,67.335,21.1,230.0,0.0171152,1.89
61,67.3432,21.1,230.0,0.0171152,1.89
62,67.3453,21.1,230.0,0.0171152,1.44
63,67.3514,21.1,230.0,0.0171152,1.44
64,67.3595,21.1,230.0,0.0171152,1.44
65,67.3613,21.1,230.0,0.0171152,1.7249999999999999
66,67.3678,21.1,230.0,0.0171152,1.7249999999999999
67,67.3818,21.75,230.0,0.0171152,1.7249999999999999
68,67.382,21.75,230.0,0.0171152,1.5899999999999999
69,67.3841,21.75,230.0,0.0171152,1.5899999999999999
70,67.3923,21.75,232.0,0.0171152,1.5899999999999999
71,67.4095,21.75,232.0,0.0171152,1.785
72,67.4097,21.75,232.0,0.0171152,1.785
73,67.4097,21.75,232.0,0.0171152,1.785
74,67.417,21.75,232.0,0.0171152,1.785
75,67.4251,21.75,232.0,0.0171152,1.785
76,67.4253,21.75,232.0,0.0171152,1.665
77,67.4333,21.75,232.0,0.0171152,1.665
78,67.4415,21.75,232.0,0.0171152,1.665
79,67.4416,21.75,232.0,0.0171152,1.68
80,67.4496,21.75,232.0,0.0171152,1.68
81,67.4578,21.75,232.0,0.0171152,1.68
82,67.458,21.75,232.0,0.0171152,1.875
83,67.466,21.75,232.0,0.0171152,1.875
84,67.4742,21.75,232.0,0.0171152,1.875
85,67.4744,21.75,232.0,0.0171152,1.4549999999999998
86,67.4824,21.75,232.0,0.0171152,1.4549999999999998
87,67.4866,21.75,232.0,0.0171152,1.4549999999999998
88,67.5055,21.75,232.0,0.0171152,1.785
89,67.506,21.75,232.0,0.0171152,1.785
90,67.5067,21.75,232.0,0.0171152,1.785
91,67.5114,21.75,232.0,0.0171152,1.785
92,67.5195,21.75,232.0,0.0171152,1.785
93,67.5216,21.75,232.0,0.0171152,1.4549999999999998
94,67.5275,21.75,232.0,0.0171152,1.4549999999999998
95,67.5358,21.75,232.0,0.0171152,1.4549999999999998
96,67.5374,21.75,232.0,0.0171152,1.74
97,67.5439,21.75,232.0,0.0171152,1.74
98,67.5572,21.55,232.0,0.0171152,1.74
99,67.5573,21.55,232.0,0.0171152,1.6199999999999999
100,67.5602,21.55,232.0,0.0171152,1.6199999999999999
101,67.5684,21.55,232.0,0.0171152,1.6199999999999999
102,67.5694,21.55,232.0,0.0171152,1.8299999999999998
103,67.5766,21.55,232.0,0.0171152,1.8299999999999998
104,67.5848,21.55,232.0,0.0171152,1.8299999999999998
105,67.5853,21.55,232.0,0.0171152,1.755
