,TimeStamp,Force(N),RPM,Volts,Amps
0,43.0078,8.4,284.0,0.0171152,0.63
1,43.016,8.4,284.0,0.0171152,0.63
2,43.0237,8.4,284.0,0.0171152,0.63
3,43.0242,8.4,284.0,0.0171152,0.63
4,43.0307,8.4,284.0,0.0171152,0.705
5,43.0323,8.4,284.0,0.0171152,0.705
6,43.0406,8.4,284.0,0.0171152,0.705
7,43.0467,8.4,284.0,0.0171152,0.6599999999999999
8,43.0487,8.4,284.0,0.0171152,0.6599999999999999
9,43.0577,8.3,284.0,0.0171152,0.6599999999999999
10,43.0578,8.3,284.0,0.0171152,0.6599999999999999
11,43.0628,8.3,284.0,0.0171152,0.615
12,43.0651,8.3,284.0,0.0171152,0.615
13,43.0734,8.3,284.0,0.0171152,0.615
14,43.0788,8.3,284.0,0.0171152,0.63
15,43.0816,8.3,284.0,0.0171152,0.63
16,43.0897,8.3,284.0,0.0171152,0.63
17,43.0947,8.3,284.0,0.0171152,0.6599999999999999
18,43.0979,8.3,284.0,0.0171152,0.6599999999999999
19,43.1061,8.3,284.0,0.0171152,0.6599999999999999
20,43.1143,8.3,284.0,0.0171152,0.6599999999999999
21,43.1224,8.3,284.0,0.0171152,0.6599999999999999
22,43.1267,8.3,284.0,0.0171152,0.615
23,43.1306,8.3,284.0,0.0171152,0.615
24,43.1389,8.3,284.0,0.0171152,0.615
25,43.1427,8.3,284.0,0.0171152,0.585
26,43.147,8.3,284.0,0.0171152,0.585
27,43.1553,8.3,284.0,0.0171152,0.585
28,43.1587,8.3,284.0,0.0171152,0.5549999999999999
29,43.1634,8.3,284.0,0.0171152,0.5549999999999999
30,43.1717,8.3,284.0,0.0171152,0.5549999999999999
31,43.175,8.3,284.0,0.0171152,0.645
32,43.1759,8.3,284.0,0.0171152,0.645
33,43.184,8.3,284.0,0.0171152,0.645
34,43.1907,8.3,284.0,0.0171152,0.6749999999999999
35,43.1921,8.3,284.0,0.0171152,0.6749999999999999
36,43.2003,8.3,284.0,0.0171152,0.6749999999999999
37,43.223,8.3,284.0,0.0171152,0.6749999999999999
38,43.2232,8.3,284.0,0.0171152,0.6749999999999999
39,43.2234,8.3,284.0,0.0171152,0.6749999999999999
40,43.225,8.3,284.0,0.0171152,0.6749999999999999
41,43.2332,8.3,284.0,0.0171152,0.6749999999999999
42,43.2454,8.3,284.0,0.0171152,0.6749999999999999
43,43.2457,8.3,284.0,0.0171152,0.705
44,43.2495,8.3,284.0,0.0171152,0.705
45,43.2549,8.3,284.0,0.0171152,0.6749999999999999
46,43.2576,8.3,284.0,0.0171152,0.6749999999999999
47,43.2659,8.3,284.0,0.0171152,0.6749999999999999
48,43.2707,8.3,284.0,0.0171152,0.6
49,43.274,8.3,284.0,0.0171152,0.6
50,43.2776,8.3,284.0,0.0171152,0.6
51,43.2822,8.3,284.0,0.0171152,0.6
52,43.2867,8.3,284.0,0.0171152,0.6
53,43.2904,8.3,284.0,0.0171152,0.6
54,43.2986,8.3,284.0,0.0171152,0.6
55,43.3188,8.3,284.0,0.0171152,0.6749999999999999
56,43.319,8.3,284.0,0.0171152,0.6749999999999999
57,43.3192,8.3,284.0,0.0171152,0.6749999999999999
58,43.3234,8.3,284.0,0.0171152,0.6749999999999999
59,43.3314,8.3,284.0,0.0171152,0.6749999999999999
60,43.3348,8.3,284.0,0.0171152,0.6
61,43.3396,8.3,284.0,0.0171152,0.6
62,43.3477,8.3,284.0,0.0171152,0.6
63,43.3507,8.3,284.0,0.0171152,0.6
64,43.3559,8.3,284.0,0.0171152,0.6
65,43.3642,8.3,284.0,0.0171152,0.6
66,43.367,8.3,284.0,0.0171152,0.6
67,43.3725,8.3,284.0,0.0171152,0.6
68,43.3808,8.3,284.0,0.0171152,0.6
69,43.3828,8.3,284.0,0.0171152,0.6749999999999999
70,43.3847,8.3,284.0,0.0171152,0.6749999999999999
71,43.3928,8.3,284.0,0.0171152,0.6749999999999999
72,43.3987,8.3,284.0,0.0171152,0.69
73,43.4009,8.3,284.0,0.0171152,0.69
74,43.4092,8.3,284.0,0.0171152,0.69
75,43.4191,8.3,284.0,0.0171152,0.69
76,43.4255,8.3,284.0,0.0171152,0.69
77,43.4336,8.3,284.0,0.0171152,0.69
78,43.4338,8.3,284.0,0.0171152,0.645
