,TimeStamp,Force(N),RPM,Volts,Amps
0,155.0005,15.05,0.0,0.0171152,1.17
1,155.0162,15.25,0.0,0.0171152,1.17
2,155.0288,15.25,0.0,0.0171152,1.05
3,155.029,15.25,0.0,0.0171152,1.05
4,155.029,15.25,0.0,0.0171152,1.05
5,155.0332,15.25,0.0,0.0171152,1.05
6,155.0414,15.25,0.0,0.0171152,1.05
7,155.0447,15.25,0.0,0.0171152,1.095
8,155.0497,15.25,0.0,0.0171152,1.095
9,155.0578,15.25,0.0,0.0171152,1.095
10,155.0607,15.25,0.0,0.0171152,0.975
11,155.066,15.25,0.0,0.0171152,0.975
12,155.0742,15.25,0.0,0.0171152,0.975
13,155.0768,15.25,0.0,0.0171152,1.275
14,155.0824,15.25,0.0,0.0171152,1.275
15,155.0906,15.25,0.0,0.0171152,1.275
16,155.0927,15.25,0.0,0.0171152,1.68
17,155.099,15.25,0.0,0.0171152,1.68
18,155.107,15.25,0.0,0.0171152,1.68
19,155.1088,15.25,0.0,0.0171152,1.53
20,155.1153,15.25,0.0,0.0171152,1.53
21,155.1234,15.25,0.0,0.0171152,1.53
22,155.1316,15.25,0.0,0.0171152,1.53
23,155.1398,15.25,0.0,0.0171152,1.53
24,155.1408,15.25,0.0,0.0171152,1.275
25,155.148,15.25,0.0,0.0171152,1.275
26,155.1563,15.25,0.0,0.0171152,1.275
27,155.1568,15.25,0.0,0.0171152,1.3199999999999998
28,155.1644,15.25,0.0,0.0171152,1.3199999999999998
29,155.1726,15.25,133.0,0.0171152,1.3199999999999998
30,155.1728,15.25,133.0,0.0171152,1.14
31,155.1807,15.25,133.0,0.0171152,1.14
32,155.1875,16.1,133.0,0.0171152,1.14
33,155.1876,16.1,133.0,0.0171152,1.14
34,155.1887,16.1,133.0,0.0171152,1.2449999999999999
35,155.1931,16.1,133.0,0.0171152,1.2449999999999999
36,155.2013,16.1,133.0,0.0171152,1.2449999999999999
37,155.2048,16.1,133.0,0.0171152,0.885
38,155.2094,16.1,133.0,0.0171152,0.885
39,155.2177,16.1,133.0,0.0171152,0.885
40,155.2259,16.1,133.0,0.0171152,0.885
41,155.2341,16.1,133.0,0.0171152,0.885
42,155.2368,16.1,133.0,0.0171152,0.9299999999999999
43,155.2423,16.1,133.0,0.0171152,0.9299999999999999
44,155.2504,16.1,133.0,0.0171152,0.9299999999999999
45,155.2528,16.1,133.0,0.0171152,1.23
46,155.2586,16.1,133.0,0.0171152,1.23
47,155.2668,16.1,133.0,0.0171152,1.23
48,155.267,16.1,133.0,0.0171152,1.23
49,155.2687,16.1,133.0,0.0171152,1.2
50,155.275,16.1,133.0,0.0171152,1.2
51,155.2833,16.1,133.0,0.0171152,1.2
52,155.2848,16.1,133.0,0.0171152,1.065
53,155.2914,16.1,133.0,0.0171152,1.065
54,155.2995,16.1,133.0,0.0171152,1.065
55,155.3008,16.1,133.0,0.0171152,1.035
56,155.3037,16.1,133.0,0.0171152,1.035
57,155.312,16.1,133.0,0.0171152,1.035
58,155.32,16.1,133.0,0.0171152,1.035
59,155.3282,16.1,133.0,0.0171152,1.035
60,155.3327,16.1,133.0,0.0171152,1.395
61,155.3364,16.1,133.0,0.0171152,1.395
62,155.3446,16.1,133.0,0.0171152,1.395
63,155.3487,16.1,133.0,0.0171152,1.635
64,155.3528,16.1,133.0,0.0171152,1.635
65,155.3611,16.1,133.0,0.0171152,1.635
66,155.371,16.45,133.0,0.0171152,1.635
67,155.3712,16.45,133.0,0.0171152,1.635
68,155.3775,16.45,133.0,0.0171152,1.635
69,155.3809,16.45,133.0,0.0171152,1.53
70,155.3856,16.45,133.0,0.0171152,1.53
71,155.3938,16.45,133.0,0.0171152,1.53
72,155.3967,16.45,133.0,0.0171152,1.635
73,155.4019,16.45,133.0,0.0171152,1.635
74,155.406,16.45,133.0,0.0171152,1.635
75,155.4288,16.45,133.0,0.0171152,1.545
76,155.429,16.45,133.0,0.0171152,1.545
77,155.4291,16.45,133.0,0.0171152,1.545
78,155.4307,16.45,133.0,0.0171152,1.545
79,155.4389,16.45,133.0,0.0171152,1.545
80,155.4448,16.45,133.0,0.0171152,1.425
81,155.447,16.45,133.0,0.0171152,1.425
82,155.4552,16.45,133.0,0.0171152,1.425
83,155.4608,16.45,133.0,0.0171152,1.635
84,155.4634,16.45,133.0,0.0171152,1.635
85,155.4716,16.45,133.0,0.0171152,1.635
86,155.4768,16.45,133.0,0.0171152,1.56
87,155.4798,16.45,133.0,0.0171152,1.56
88,155.488,16.45,133.0,0.0171152,1.56
89,155.4928,16.45,133.0,0.0171152,1.545
90,155.4962,16.45,133.0,0.0171152,1.545
91,155.5044,16.45,133.0,0.0171152,1.545
92,155.5247,16.45,133.0,0.0171152,1.7249999999999999
93,155.5249,16.45,133.0,0.0171152,1.7249999999999999
94,155.525,16.45,133.0,0.0171152,1.7249999999999999
95,155.5289,16.45,133.0,0.0171152,1.7249999999999999
96,155.5371,16.45,133.0,0.0171152,1.7249999999999999
97,155.5408,16.45,133.0,0.0171152,1.74
98,155.5504,17.85,133.0,0.0171152,1.74
99,155.5506,17.85,133.0,0.0171152,1.74
100,155.5535,17.85,133.0,0.0171152,1.74
101,155.5568,17.85,133.0,0.0171152,1.665
102,155.5617,17.85,133.0,0.0171152,1.665
103,155.5699,17.85,133.0,0.0171152,1.665
104,155.5727,17.85,133.0,0.0171152,1.875
105,155.5782,17.85,145.0,0.0171152,1.875
106,155.5863,17.85,145.0,0.0171152,1.875
107,155.5886,17.85,145.0,0.0171152,1.77
108,155.5944,17.85,145.0,0.0171152,1.77
109,155.6026,17.85,145.0,0.0171152,1.77
110,155.6046,17.85,145.0,0.0171152,1.5899999999999999
111,155.6108,17.85,145.0,0.0171152,1.5899999999999999
112,155.619,17.85,145.0,0.0171152,1.5899999999999999
113,155.6272,17.85,145.0,0.0171152,1.5899999999999999
114,155.6354,17.85,145.0,0.0171152,1.5899999999999999
115,155.6366,17.85,145.0,0.0171152,1.755
116,155.6436,17.85,145.0,0.0171152,1.755
117,155.6518,17.85,145.0,0.0171152,1.755
118,155.6526,17.85,145.0,0.0171152,1.53
119,155.66,17.85,145.0,0.0171152,1.53
120,155.6682,17.85,145.0,0.0171152,1.53
121,155.6687,17.85,145.0,0.0171152,1.44
122,155.6764,17.85,145.0,0.0171152,1.44
123,155.6846,17.85,145.0,0.0171152,1.44
124,155.6849,17.85,145.0,0.0171152,1.41
125,155.6927,17.85,145.0,0.0171152,1.41
126,155.6968,17.85,145.0,0.0171152,1.41
127,155.7008,17.85,145.0,0.0171152,1.2449999999999999
128,155.7051,17.85,145.0,0.0171152,1.2449999999999999
129,155.7136,18.05,145.0,0.0171152,1.2449999999999999
