,Force(N),RPM,Volts,Amps
0,34.050000000000026,1270.0,34.050000000000026,6.82496160798149
1,17.85,130.0,17.85,0.8550027767338325
2,32.650000000000006,1370.0,32.650000000000006,6.674932511736956
3,45.249997762863536,790.0,45.249997762863536,6.599999999997887
4,37.599999999999994,390.0,37.599999999999994,3.9768292668633407
5,31.183333333333334,1530.0,31.183333333333334,6.4798009378228905
6,16.099978354978358,10.0,16.099978354978358,0.6467142860993054
7,34.0,1330.0,34.0,8.295362903252332
8,30.950000000000003,1510.0,30.950000000000003,5.865000000026085
9,45.2,770.0,45.2,7.6803636363481775
10,30.099795081967216,270.0,30.099795081967216,2.2200000006912135
11,43.15,530.0,43.15,6.059999999600268
12,42.650000000000006,1070.0,42.650000000000006,7.965073356619898
13,19.85,150.0,19.85,1.4400135685469166
14,31.9,1390.0,31.9,6.779999826227954
15,39.15,410.0,39.15,4.589997136829518
16,43.1,1050.0,43.1,8.445050690300222
17,45.0,670.0,45.0,6.224785714285716
18,36.40025210084033,1190.0,36.40025210084033,7.110012986987317
19,31.75,290.0,31.75,2.7749999999999995
20,43.04999999999999,1030.0,43.04999999999999,8.204290908889844
21,43.6,550.0,43.6,5.208750029479039
22,32.2,1410.0,32.2,6.898935483519692
23,35.2,1250.0,35.2,7.963695664464289
24,45.1,810.0,45.1,7.74000001219343
25,43.8,1010.0,43.8,7.6796885812885325
26,39.5,430.0,39.5,5.534999901377409
27,45.2,690.0,45.2,6.794999999999977
28,44.4,990.0,44.4,7.859999878539934
29,45.05,950.0,45.05,9.224991226883109
30,44.5,570.0,44.5,5.400548780408051
31,33.95,330.0,33.95,3.5099986737399367
32,44.84926470588236,650.0,44.84926470588236,6.390000299305681
33,45.1,830.0,45.1,6.990379748499335
34,39.65000007494775,450.0,39.65000007494775,4.725006648953148
35,34.95,1290.0,34.95,6.732457628910449
36,33.04999999999507,310.0,33.04999999999507,3.2693271767810104
37,45.9,710.0,45.9,6.300000002384201
38,31.650000000000002,1490.0,31.650000000000002,6.929999989399696
39,44.700000000000436,970.0,44.700000000000436,8.264997709746766
40,45.5,930.0,45.5,9.914999998298256
41,44.6,590.0,44.6,5.130004294548827
42,33.6,1350.0,33.6,7.620374061272405
43,35.4,1230.0,35.4,6.583018867924529
44,45.7,850.0,45.7,6.960000000455627
45,32.3,1470.0,32.3,7.155001737720111
46,44.85,910.0,44.85,7.379992260061922
47,40.6,470.0,40.6,4.455003586799834
48,45.35,730.0,45.35,7.214549999999999
49,31.949999999999996,1450.0,31.949999999999996,6.374987257900585
50,28.5,250.0,28.5,2.1150003336484455
51,35.25,350.0,35.25,3.479946428573922
52,36.80000000000027,1170.0,36.80000000000027,8.219855771813341
53,32.2,1430.0,32.2,6.586654804270461
54,44.649999999999984,610.0,44.649999999999984,5.670002234042553
55,40.85,1090.0,40.85,6.8580337078561335
56,27.993956043956043,230.0,27.993956043956043,1.8899999964922718
57,45.54999999999999,870.0,45.54999999999999,7.529268292705366
58,38.45000000081138,1110.0,38.45000000081138,7.080489130434633
59,41.25,490.0,41.25,4.470000633606753
60,37.25,1130.0,37.25,6.269900662248591
61,36.6,1150.0,36.6,6.329895104895105
62,46.15,750.0,46.15,7.005573979582805
63,35.75,370.0,35.75,4.531428571897189
64,24.799999999999997,190.0,24.799999999999997,2.603617014266554
65,44.650000000000006,630.0,44.650000000000006,7.08750009234414
66,35.95000106837607,1210.0,35.95000106837607,6.7622222377079435
67,45.0,890.0,45.0,7.334999998346791
68,33.85,1310.0,33.85,9.149734982121936
69,21.25,170.0,21.25,2.386999999176048
70,42.5,510.0,42.5,5.2950000000388675
