,Force(N),RPM,Volts,Amps
0,0.0,770.0,0.0,0.63
1,0.0,150.0,0.0,0.63
2,0.0,390.0,0.0,0.615000000001875
3,0.0,650.0,0.0,0.6150000012461132
4,0.0,130.0,0.0,0.6300000000000001
5,0.0,910.0,0.0,7.125551420416818
6,0.0,530.0,0.0,0.63
7,0.0,750.0,0.0,0.615
8,0.0,790.0,0.0,0.6150000000000249
9,0.0,410.0,0.0,0.6150075604838711
10,0.0,90.0,0.0,0.6300000000000001
11,0.0,670.0,0.0,0.6149999999999999
12,0.0,290.0,0.0,0.6150000026403468
13,0.0,70.0,0.0,0.6149999999999999
14,0.0,550.0,0.0,0.615
15,0.0,170.0,0.0,0.63
16,0.0,50.0,0.0,0.63
17,0.0,430.0,0.0,0.6299999957264981
18,0.0,690.0,0.0,0.615000001100742
19,0.0,30.0,0.0,0.6299999993809585
20,0.0,310.0,0.0,0.615006329113924
21,0.0,570.0,0.0,0.6150033083370093
22,0.0,10.0,0.0,0.63
23,0.0,190.0,0.0,0.6299999999994247
24,0.0,450.0,0.0,0.6150085421356801
25,0.0,710.0,0.0,0.63
26,0.0,330.0,0.0,0.615
27,0.0,590.0,0.0,0.629996901466639
28,0.0,210.0,0.0,0.6150000000006827
29,0.0,270.0,0.0,0.63
30,0.0,470.0,0.0,0.6300000000000001
31,0.0,730.0,0.0,0.63
32,0.0,890.0,0.0,0.6300000107819036
33,0.0,350.0,0.0,0.6150000000016059
34,0.0,610.0,0.0,0.63
35,0.0,870.0,0.0,0.6299999939722895
36,0.0,230.0,0.0,0.6299999999992149
37,0.0,490.0,0.0,0.6299999999998522
38,0.0,850.0,0.0,0.6149999999999999
39,0.0,110.0,0.0,0.6150000012873347
40,0.0,370.0,0.0,0.6300000000000001
41,0.0,830.0,0.0,0.6150041174855888
42,0.0,630.0,0.0,0.6150000000000001
43,0.0,250.0,0.0,0.6150000000000003
44,0.0,810.0,0.0,0.6150000006641207
45,0.0,510.0,0.0,0.6150000000000001
