,Force(N),RPM,Volts,Amps
0,0.0,230.0,0.0,0.6450000000000001
1,0.0,770.0,0.0,0.6300000000022578
2,0.0,790.0,0.0,0.645
3,0.0,710.0,0.0,0.645
4,0.0,10.0,0.0,0.645
5,0.0,650.0,0.0,0.6449992488356954
6,0.0,290.0,0.0,0.6449988722652559
7,0.0,450.0,0.0,0.645
8,0.0,590.0,0.0,0.645
9,0.0,190.0,0.0,0.645
10,0.0,850.0,0.0,0.645
11,0.0,350.0,0.0,0.6450000000000001
12,0.0,430.0,0.0,0.645
13,0.0,470.0,0.0,0.645
14,0.0,150.0,0.0,0.645
15,0.0,110.0,0.0,0.6450000000000001
16,0.0,250.0,0.0,0.6299999999999999
17,0.0,730.0,0.0,0.645
18,0.0,410.0,0.0,0.645
19,0.0,670.0,0.0,0.645
20,0.0,130.0,0.0,0.6300004925784842
21,0.0,610.0,0.0,0.63
22,0.0,310.0,0.0,0.6300007130294227
23,0.0,390.0,0.0,0.645
24,0.0,550.0,0.0,0.63
25,0.0,210.0,0.0,0.6450000000000001
26,0.0,490.0,0.0,0.645
27,0.0,370.0,0.0,0.6299999999999999
28,0.0,530.0,0.0,0.645
29,0.0,750.0,0.0,0.6300001879557928
30,0.0,90.0,0.0,0.6449995026030452
31,0.0,50.0,0.0,0.63
32,0.0,690.0,0.0,0.645
33,0.0,30.0,0.0,0.6449998924183635
34,0.0,510.0,0.0,0.63
35,0.0,630.0,0.0,0.645
36,0.0,170.0,0.0,0.645
37,0.0,70.0,0.0,0.6300000000000001
38,0.0,570.0,0.0,0.6450000000000001
39,0.0,270.0,0.0,0.63
40,0.0,330.0,0.0,0.6450000000000001
41,0.0,810.0,0.0,0.645
42,0.0,830.0,0.0,0.6449999999999997
