,Force(N),RPM,Volts,Amps
0,0.0,450.0,0.0,0.585
1,0.0,630.0,0.0,0.6000000000000001
2,0.0,390.0,0.0,0.5850000083975653
3,0.0,330.0,0.0,0.585
4,0.0,290.0,0.0,0.585
5,0.0,590.0,0.0,0.585
6,0.0,530.0,0.0,0.585
7,0.0,90.0,0.0,0.5850068587076904
8,0.0,270.0,0.0,0.5999908368967624
9,0.0,470.0,0.0,0.585
10,0.0,150.0,0.0,0.585
11,0.0,410.0,0.0,0.5850000000000056
12,0.0,570.0,0.0,0.5999999944836777
13,0.0,350.0,0.0,0.585
14,0.0,130.0,0.0,0.585
15,0.0,610.0,0.0,0.585
16,0.0,50.0,0.0,0.5999933862433863
17,0.0,230.0,0.0,0.585
18,0.0,550.0,0.0,0.585
19,0.0,490.0,0.0,0.585
20,0.0,110.0,0.0,0.5850077041602464
21,0.0,210.0,0.0,0.585000000000002
22,0.0,430.0,0.0,0.5850000000069496
23,0.0,370.0,0.0,0.585
24,0.0,30.0,0.0,0.6
25,0.0,190.0,0.0,0.585
26,0.0,310.0,0.0,0.585
27,0.0,170.0,0.0,0.5999919571045575
28,0.0,250.0,0.0,0.6
29,0.0,10.0,0.0,0.585
30,0.0,70.0,0.0,0.5850067446043165
31,0.0,650.0,0.0,0.6
32,0.0,510.0,0.0,0.585
