,TimeStamp,Force(N),RPM,Volts,Amps
0,250.0001,0.0,1102.0,0.0171152,2.58
1,250.0048,0.0,1102.0,0.0171152,2.58
2,250.0089,0.0,1102.0,0.0171152,2.58
3,250.0131,0.0,1102.0,0.0171152,2.58
4,250.016,0.0,1102.0,0.0171152,2.61
5,250.0162,0.0,1102.0,0.0171152,2.565
6,250.0212,0.0,1102.0,0.0171152,2.565
7,250.0253,0.0,1102.0,0.0171152,2.565
8,250.0293,0.0,1102.0,0.0171152,2.565
9,250.0319,0.0,1102.0,0.0171152,2.6399999999999997
10,250.0481,0.0,1102.0,0.0171152,2.565
11,250.0489,0.0,1102.0,0.0171152,2.52
12,250.0492,0.0,1102.0,0.0171152,2.52
13,250.0499,0.0,1102.0,0.0171152,2.52
14,250.054,0.0,1149.0,0.0171152,2.52
15,250.0582,0.0,1149.0,0.0171152,2.52
16,250.0663,0.0,1149.0,0.0171152,2.52
17,250.0665,0.0,1149.0,0.0171152,2.46
18,250.0666,0.0,1149.0,0.0171152,2.685
19,250.0703,0.0,1149.0,0.0171152,2.685
20,250.0744,0.0,1149.0,0.0171152,2.685
21,250.0826,0.0,1149.0,0.0171152,2.685
22,250.0828,0.0,1149.0,0.0171152,2.73
23,250.0866,0.0,1149.0,0.0171152,2.73
24,250.0908,0.0,1149.0,0.0171152,2.73
25,250.0959,0.0,1149.0,0.0171152,2.655
26,250.096,0.0,1149.0,0.0171152,2.655
27,250.0989,0.0,1149.0,0.0171152,2.655
28,250.103,0.0,1149.0,0.0171152,2.655
29,250.1071,0.0,1105.0,0.0171152,2.655
30,250.1119,0.0,1105.0,0.0171152,2.655
31,250.112,0.0,1105.0,0.0171152,2.6399999999999997
32,250.1153,0.0,1105.0,0.0171152,2.6399999999999997
33,250.1194,0.0,1105.0,0.0171152,2.6399999999999997
34,250.1235,0.0,1105.0,0.0171152,2.6399999999999997
35,250.1279,0.0,1105.0,0.0171152,2.685
36,250.1317,0.0,1105.0,0.0171152,2.685
37,250.1358,0.0,1105.0,0.0171152,2.685
38,250.1399,0.0,1105.0,0.0171152,2.685
39,250.1439,0.0,1105.0,0.0171152,2.715
40,250.1439,0.0,1105.0,0.0171152,2.55
41,250.148,0.0,1105.0,0.0171152,2.55
42,250.1522,0.0,1105.0,0.0171152,2.55
43,250.1604,0.0,1151.0,0.0171152,2.55
44,250.1606,0.0,1151.0,0.0171152,2.52
45,250.1608,0.0,1151.0,0.0171152,2.58
46,250.1645,0.0,1151.0,0.0171152,2.58
47,250.1686,0.0,1151.0,0.0171152,2.58
48,250.1759,0.0,1151.0,0.0171152,2.625
49,250.1768,0.0,1151.0,0.0171152,2.625
50,250.1809,0.0,1151.0,0.0171152,2.625
51,250.1849,0.0,1151.0,0.0171152,2.625
52,250.1918,0.0,1151.0,0.0171152,2.6399999999999997
53,250.1919,0.0,1151.0,0.0171152,2.6399999999999997
54,250.1931,0.0,1151.0,0.0171152,2.6399999999999997
55,250.1973,0.0,1151.0,0.0171152,2.6399999999999997
56,250.2013,0.0,1151.0,0.0171152,2.6399999999999997
57,250.2079,0.0,1151.0,0.0171152,2.55
58,250.2095,0.0,1151.0,0.0171152,2.55
59,250.2136,0.0,1100.0,0.0171152,2.55
60,250.2158,0.0,1100.0,0.0171152,2.55
61,250.2177,0.0,1100.0,0.0171152,2.55
62,250.2239,0.0,1100.0,0.0171152,2.445
63,250.2239,0.0,1100.0,0.0171152,2.55
64,250.2259,0.0,1100.0,0.0171152,2.55
65,250.23,0.0,1100.0,0.0171152,2.55
66,250.2341,0.0,1100.0,0.0171152,2.55
67,250.2399,0.0,1100.0,0.0171152,2.6999999999999997
68,250.24,0.0,1100.0,0.0171152,2.685
69,250.2423,0.0,1100.0,0.0171152,2.685
70,250.2464,0.0,1100.0,0.0171152,2.685
71,250.2546,0.0,1100.0,0.0171152,2.685
72,250.2559,0.0,1100.0,0.0171152,2.5349999999999997
73,250.2587,0.0,1100.0,0.0171152,2.5349999999999997
74,250.2628,0.0,1136.0,0.0171152,2.5349999999999997
75,250.271,0.0,1136.0,0.0171152,2.5349999999999997
76,250.2719,0.0,1136.0,0.0171152,2.58
77,250.2719,0.0,1136.0,0.0171152,2.6999999999999997
78,250.2751,0.0,1136.0,0.0171152,2.6999999999999997
79,250.2792,0.0,1136.0,0.0171152,2.6999999999999997
80,250.2873,0.0,1136.0,0.0171152,2.6999999999999997
81,250.2878,0.0,1136.0,0.0171152,2.6999999999999997
82,250.2879,0.0,1136.0,0.0171152,2.5949999999999998
83,250.2914,0.0,1136.0,0.0171152,2.5949999999999998
84,250.2955,0.0,1136.0,0.0171152,2.5949999999999998
85,250.3037,0.0,1136.0,0.0171152,2.5949999999999998
86,250.3038,0.0,1136.0,0.0171152,2.6399999999999997
87,250.3078,0.0,1136.0,0.0171152,2.6399999999999997
88,250.3119,0.0,1136.0,0.0171152,2.6399999999999997
89,250.3198,0.0,1136.0,0.0171152,2.58
90,250.3199,0.0,1136.0,0.0171152,2.6399999999999997
91,250.3201,0.0,1100.0,0.0171152,2.6399999999999997
92,250.3243,0.0,1100.0,0.0171152,2.6399999999999997
93,250.3325,0.0,1100.0,0.0171152,2.6399999999999997
94,250.3359,0.0,1100.0,0.0171152,2.52
95,250.3366,0.0,1100.0,0.0171152,2.52
96,250.3406,0.0,1100.0,0.0171152,2.52
97,250.3488,0.0,1100.0,0.0171152,2.52
98,250.3519,0.0,1100.0,0.0171152,2.565
99,250.3521,0.0,1100.0,0.0171152,2.4899999999999998
100,250.3529,0.0,1100.0,0.0171152,2.4899999999999998
101,250.357,0.0,1100.0,0.0171152,2.4899999999999998
102,250.3652,0.0,1100.0,0.0171152,2.4899999999999998
103,250.3678,0.0,1100.0,0.0171152,2.46
104,250.3679,0.0,1100.0,0.0171152,2.76
105,250.3693,0.0,1100.0,0.0171152,2.76
106,250.3733,0.0,1145.0,0.0171152,2.76
107,250.3815,0.0,1145.0,0.0171152,2.76
108,250.3838,0.0,1145.0,0.0171152,2.67
109,250.3856,0.0,1145.0,0.0171152,2.67
110,250.3897,0.0,1145.0,0.0171152,2.67
111,250.3979,0.0,1145.0,0.0171152,2.67
112,250.3998,0.0,1145.0,0.0171152,2.625
113,250.3998,0.0,1145.0,0.0171152,2.61
114,250.402,0.0,1145.0,0.0171152,2.61
115,250.4061,0.0,1145.0,0.0171152,2.61
116,250.4143,0.0,1145.0,0.0171152,2.61
117,250.4157,0.0,1145.0,0.0171152,2.5949999999999998
118,250.4158,0.0,1145.0,0.0171152,2.58
119,250.4184,0.0,1145.0,0.0171152,2.58
120,250.4266,0.0,1110.0,0.0171152,2.58
121,250.4307,0.0,1110.0,0.0171152,2.58
122,250.4317,0.0,1110.0,0.0171152,2.565
123,250.4348,0.0,1110.0,0.0171152,2.565
124,250.443,0.0,1110.0,0.0171152,2.565
125,250.4472,0.0,1110.0,0.0171152,2.565
126,250.4478,0.0,1110.0,0.0171152,2.505
127,250.448,0.0,1110.0,0.0171152,2.565
128,250.4512,0.0,1110.0,0.0171152,2.565
129,250.4594,0.0,1110.0,0.0171152,2.565
130,250.4635,0.0,1110.0,0.0171152,2.565
131,250.4637,0.0,1110.0,0.0171152,2.505
132,250.4656,0.0,1110.0,0.0171152,2.505
133,250.4675,0.0,1110.0,0.0171152,2.505
134,250.4758,0.0,1110.0,0.0171152,2.505
135,250.4797,0.0,1110.0,0.0171152,2.475
136,250.4798,0.0,1110.0,0.0171152,2.5349999999999997
137,250.4799,0.0,1153.0,0.0171152,2.5349999999999997
138,250.4839,0.0,1153.0,0.0171152,2.5349999999999997
139,250.4922,0.0,1153.0,0.0171152,2.5349999999999997
140,250.4958,0.0,1153.0,0.0171152,2.5349999999999997
141,250.4958,0.0,1153.0,0.0171152,2.415
142,250.4962,0.0,1153.0,0.0171152,2.415
143,250.5003,0.0,1153.0,0.0171152,2.415
144,250.5085,0.0,1153.0,0.0171152,2.415
