,Force(N),RPM,Volts,Amps
0,29.9,385.0,29.9,1.5456122448350675
1,32.95,515.0,32.95,2.415548780602335
2,33.05,645.0,33.05,2.6399999987043397
3,31.25,775.0,31.25,2.5649981528497077
4,23.950000000000003,265.0,23.950000000000003,0.9289024637099452
5,30.25,395.0,30.25,1.6660908925979974
6,32.35,525.0,32.35,2.1601916345448706
7,33.099999999937296,655.0,33.099999999937296,2.670009176863178
8,25.549943977591038,275.0,25.549943977591038,1.02025
9,30.1,405.0,30.1,1.6349997565725414
10,32.3,535.0,32.3,2.0426250615481267
11,33.1,665.0,33.1,2.9998747997655064
12,26.0,285.0,26.0,1.0200000000543183
13,30.75,415.0,30.75,1.9951724137931033
14,32.79999999999999,545.0,32.79999999999999,2.175115384669135
15,32.65,675.0,32.65,2.430604835605004
16,26.05,295.0,26.05,1.0341891797259926
17,30.4,425.0,30.4,1.7550306117729277
18,32.8,555.0,32.8,2.0850148514851465
19,32.25,685.0,32.25,2.279983736460316
20,26.5998595505618,305.0,26.5998595505618,1.1100000000417332
21,30.85015514184397,435.0,30.85015514184397,1.5790625008030024
22,32.95,565.0,32.95,2.189856459330144
23,32.45,695.0,32.45,2.5800006226647625
24,27.0,315.0,27.0,1.2150169606124597
25,31.950000000000003,445.0,31.950000000000003,2.1899995599898294
26,32.95,575.0,32.95,2.625002023881805
27,31.649999999999995,705.0,31.649999999999995,2.099333333333344
28,28.300000000000004,325.0,28.300000000000004,1.1698224852261583
29,31.650000000000002,455.0,31.650000000000002,2.1150014822129934
30,33.85,585.0,33.85,2.4595946986902195
31,31.800248756218906,715.0,31.800248756218906,3.6749958955206092
32,28.5,335.0,28.5,1.4550013836042752
33,32.75,465.0,32.75,2.1600271650903387
34,33.35,595.0,33.35,2.279974789530915
35,31.8,725.0,31.8,3.2887438220624614
36,21.4,215.0,21.4,0.5249999965968383
37,28.35,345.0,28.35,1.4990322579796322
38,31.25000000000064,475.0,31.25000000000064,1.8450006840847715
39,33.05,605.0,33.05,2.599722228151074
40,31.800000000000004,735.0,31.800000000000004,2.9413461556190725
41,22.25,225.0,22.25,0.5850267062314539
42,29.0,355.0,29.0,1.4550000000749674
43,31.6,485.0,31.6,1.7994485294117593
44,33.9499999994899,615.0,33.9499999994899,2.5775000566733137
45,33.400000000000006,745.0,33.400000000000006,2.7750038930449374
46,23.850000000000005,235.0,23.850000000000005,1.0799994231102052
47,28.901674641148325,365.0,28.901674641148325,1.3199282296653874
48,31.950000000000003,495.0,31.950000000000003,1.830112781954887
49,33.0,625.0,33.0,2.385588250300017
50,30.85,755.0,30.85,2.475147782944256
51,29.7,375.0,29.7,1.5000005369287674
52,31.8,505.0,31.8,2.0849989272687846
53,32.40348837209302,635.0,32.40348837209302,2.1299999982340934
54,31.24997964997965,765.0,31.24997964997965,2.8349997558248883
