,TimeStamp,Force(N),RPM,Volts,Amps
0,60.0022,26.4,258.0,0.0171152,0.78
1,60.0065,26.4,258.0,0.0171152,0.78
2,60.0146,26.4,258.0,0.0171152,0.78
3,60.0183,26.4,258.0,0.0171152,0.8099999999999999
4,60.0228,26.4,258.0,0.0171152,0.8099999999999999
5,60.0311,26.4,258.0,0.0171152,0.8099999999999999
6,60.0343,26.4,258.0,0.0171152,0.885
7,60.0393,26.4,258.0,0.0171152,0.885
8,60.0474,26.4,258.0,0.0171152,0.885
9,60.0503,26.4,258.0,0.0171152,0.8099999999999999
10,60.0557,26.4,258.0,0.0171152,0.8099999999999999
11,60.0638,26.4,258.0,0.0171152,0.8099999999999999
12,60.0664,26.4,258.0,0.0171152,0.705
13,60.068000000000005,26.4,258.0,0.0171152,0.705
14,60.0773,26.5,258.0,0.0171152,0.705
15,60.0774,26.5,258.0,0.0171152,0.705
16,60.0843,26.5,258.0,0.0171152,0.705
17,60.0925,26.5,258.0,0.0171152,0.705
18,60.0982,26.5,258.0,0.0171152,0.75
19,60.1007,26.5,258.0,0.0171152,0.75
20,60.1089,26.5,258.0,0.0171152,0.75
21,60.1143,26.5,258.0,0.0171152,0.9299999999999999
22,60.1171,26.5,258.0,0.0171152,0.9299999999999999
23,60.122,26.5,258.0,0.0171152,0.9299999999999999
24,60.1253,26.5,258.0,0.0171152,0.9299999999999999
25,60.1304,26.5,258.0,0.0171152,0.855
26,60.1334,26.5,258.0,0.0171152,0.855
27,60.1416,26.5,258.0,0.0171152,0.855
28,60.1463,26.5,258.0,0.0171152,0.8099999999999999
29,60.1498,26.5,258.0,0.0171152,0.8099999999999999
30,60.1581,26.5,258.0,0.0171152,0.8099999999999999
31,60.1623,26.5,258.0,0.0171152,0.9299999999999999
32,60.1662,26.5,258.0,0.0171152,0.9299999999999999
33,60.1744,26.5,258.0,0.0171152,0.9299999999999999
34,60.1826,26.5,258.0,0.0171152,0.9299999999999999
35,60.1908,26.5,258.0,0.0171152,0.9299999999999999
36,60.1943,26.5,258.0,0.0171152,0.765
37,60.199,26.5,258.0,0.0171152,0.765
38,60.2072,26.5,258.0,0.0171152,0.765
39,60.2103,26.5,258.0,0.0171152,0.8099999999999999
40,60.2213,26.55,258.0,0.0171152,0.8099999999999999
41,60.2213,26.55,258.0,0.0171152,0.8099999999999999
42,60.2236,26.55,258.0,0.0171152,0.8099999999999999
43,60.2263,26.55,258.0,0.0171152,0.78
44,60.2318,26.55,259.0,0.0171152,0.78
45,60.24,26.55,259.0,0.0171152,0.78
46,60.2423,26.55,259.0,0.0171152,0.8999999999999999
47,60.2482,26.55,259.0,0.0171152,0.8999999999999999
48,60.2563,26.55,259.0,0.0171152,0.8999999999999999
49,60.2583,26.55,259.0,0.0171152,0.825
50,60.2645,26.55,259.0,0.0171152,0.825
51,60.2728,26.55,259.0,0.0171152,0.825
52,60.2905,26.55,259.0,0.0171152,0.6749999999999999
53,60.2908,26.55,259.0,0.0171152,0.6749999999999999
54,60.2911,26.55,259.0,0.0171152,0.6749999999999999
55,60.2934,26.55,259.0,0.0171152,0.6749999999999999
56,60.3016,26.55,259.0,0.0171152,0.6749999999999999
57,60.3063,26.55,259.0,0.0171152,0.7949999999999999
58,60.3096,26.55,259.0,0.0171152,0.7949999999999999
59,60.3177,26.55,259.0,0.0171152,0.7949999999999999
60,60.3222,26.55,259.0,0.0171152,0.7949999999999999
61,60.326,26.55,259.0,0.0171152,0.7949999999999999
62,60.3342,26.55,259.0,0.0171152,0.7949999999999999
63,60.3383,26.55,259.0,0.0171152,0.9299999999999999
64,60.3423,26.55,259.0,0.0171152,0.9299999999999999
65,60.3506,26.55,259.0,0.0171152,0.9299999999999999
66,60.3542,26.55,259.0,0.0171152,0.9149999999999999
67,60.3588,26.55,259.0,0.0171152,0.9149999999999999
68,60.3669,26.55,259.0,0.0171152,0.9149999999999999
69,60.3865,26.55,259.0,0.0171152,0.9299999999999999
70,60.3898,26.35,259.0,0.0171152,0.9299999999999999
71,60.3904,26.35,259.0,0.0171152,0.9299999999999999
72,60.3917,26.35,259.0,0.0171152,0.9299999999999999
73,60.3998,26.35,259.0,0.0171152,0.9299999999999999
74,60.4023,26.35,259.0,0.0171152,0.8999999999999999
75,60.4079,26.35,259.0,0.0171152,0.8999999999999999
76,60.4161,26.35,259.0,0.0171152,0.8999999999999999
77,60.4183,26.35,259.0,0.0171152,0.7949999999999999
78,60.4243,26.35,259.0,0.0171152,0.7949999999999999
79,60.4325,26.35,259.0,0.0171152,0.7949999999999999
80,60.4342,26.35,259.0,0.0171152,0.87
81,60.4406,26.35,259.0,0.0171152,0.87
82,60.4489,26.35,259.0,0.0171152,0.87
83,60.4502,26.35,259.0,0.0171152,0.75
84,60.4571,26.35,259.0,0.0171152,0.75
85,60.4652,26.35,258.0,0.0171152,0.75
86,60.4824,26.35,258.0,0.0171152,0.8999999999999999
87,60.4826,26.35,258.0,0.0171152,0.8999999999999999
88,60.4828,26.35,258.0,0.0171152,0.8999999999999999
89,60.49,26.35,258.0,0.0171152,0.8999999999999999
90,60.4981,26.35,258.0,0.0171152,0.8999999999999999
91,60.4985,26.35,258.0,0.0171152,0.855
92,60.5023,26.35,258.0,0.0171152,0.855
93,60.5104,26.35,258.0,0.0171152,0.855
94,60.5144,26.35,258.0,0.0171152,0.87
95,60.5186,26.35,258.0,0.0171152,0.87
96,60.5267,26.35,258.0,0.0171152,0.87
97,60.5302,26.35,258.0,0.0171152,0.825
98,60.5348,26.35,258.0,0.0171152,0.825
99,60.5431,26.35,258.0,0.0171152,0.825
100,60.5463,26.35,258.0,0.0171152,0.855
101,60.5512,26.35,258.0,0.0171152,0.855
102,60.5594,26.35,258.0,0.0171152,0.855
103,60.5623,26.35,258.0,0.0171152,0.87
104,60.5676,26.35,258.0,0.0171152,0.87
105,60.5759,26.35,258.0,0.0171152,0.87
106,60.583999999999996,26.35,258.0,0.0171152,0.87
107,60.5922,26.35,258.0,0.0171152,0.87
108,60.5943,26.35,258.0,0.0171152,0.885
109,60.6004,26.35,258.0,0.0171152,0.885
110,60.6086,26.35,258.0,0.0171152,0.885
111,60.6102,26.35,258.0,0.0171152,0.975
112,60.6168,26.35,258.0,0.0171152,0.975
113,60.6271,26.55,258.0,0.0171152,0.975
114,60.6275,26.55,258.0,0.0171152,0.885
115,60.6333,26.55,258.0,0.0171152,0.885
116,60.6414,26.55,258.0,0.0171152,0.885
117,60.6422,26.55,258.0,0.0171152,0.825
118,60.6496,26.55,258.0,0.0171152,0.825
119,60.6578,26.55,258.0,0.0171152,0.825
120,60.6582,26.55,258.0,0.0171152,0.885
121,60.6659,26.55,258.0,0.0171152,0.885
122,60.6742,26.55,258.0,0.0171152,0.885
123,60.6898,26.4,258.0,0.0171152,0.885
124,60.6899,26.4,258.0,0.0171152,0.885
125,60.6902,26.4,258.0,0.0171152,0.825
126,60.6905,26.4,258.0,0.0171152,0.825
127,60.6986,26.4,258.0,0.0171152,0.825
128,60.707,26.4,258.0,0.0171152,0.825
129,60.7071,26.4,258.0,0.0171152,0.825
130,60.715,26.4,258.0,0.0171152,0.825
131,60.7192,26.4,258.0,0.0171152,0.825
132,60.7222,26.4,258.0,0.0171152,0.84
133,60.7273,26.4,258.0,0.0171152,0.84
134,60.7356,26.4,258.0,0.0171152,0.84
135,60.7383,26.4,258.0,0.0171152,0.9299999999999999
136,60.7437,26.4,258.0,0.0171152,0.9299999999999999
137,60.7519,26.4,258.0,0.0171152,0.9299999999999999
138,60.7542,26.4,258.0,0.0171152,0.945
139,60.7601,26.4,258.0,0.0171152,0.945
140,60.7683,26.4,258.0,0.0171152,0.945
141,60.7766,26.4,258.0,0.0171152,0.945
142,60.7847,26.4,258.0,0.0171152,0.945
143,60.7862,26.4,258.0,0.0171152,0.7949999999999999
144,60.7929,26.4,258.0,0.0171152,0.7949999999999999
145,60.8011,26.4,258.0,0.0171152,0.7949999999999999
146,60.8021,26.4,258.0,0.0171152,0.9299999999999999
147,60.8094,26.4,258.0,0.0171152,0.9299999999999999
148,60.8175,26.4,258.0,0.0171152,0.9299999999999999
149,60.8185,26.4,258.0,0.0171152,0.8099999999999999
150,60.8257,26.4,258.0,0.0171152,0.8099999999999999
151,60.8338,26.4,258.0,0.0171152,0.8099999999999999
152,60.8342,26.4,258.0,0.0171152,0.885
153,60.838,26.4,258.0,0.0171152,0.885
154,60.8503,26.4,258.0,0.0171152,0.885
155,60.8504,26.4,258.0,0.0171152,0.87
156,60.8584,26.4,258.0,0.0171152,0.87
