,TimeStamp,Force(N),RPM,Volts,Amps
0,110.0059,0.0,355.0,0.0171152,1.08
1,110.008,0.0,355.0,0.0171152,1.08
2,110.0161,0.0,355.0,0.0171152,1.08
3,110.0218,0.0,355.0,0.0171152,1.08
4,110.0243,0.0,355.0,0.0171152,1.08
5,110.0324,0.0,355.0,0.0171152,1.08
6,110.0378,0.0,355.0,0.0171152,1.095
7,110.0406,0.0,355.0,0.0171152,1.095
8,110.0489,0.0,355.0,0.0171152,1.095
9,110.0538,0.0,355.0,0.0171152,0.96
10,110.057,0.0,355.0,0.0171152,0.96
11,110.0652,0.0,355.0,0.0171152,0.96
12,110.086,0.0,355.0,0.0171152,1.1099999999999999
13,110.0862,0.0,355.0,0.0171152,1.1099999999999999
14,110.0862,0.0,355.0,0.0171152,1.1099999999999999
15,110.0898,0.0,355.0,0.0171152,1.1099999999999999
16,110.098,0.0,355.0,0.0171152,1.1099999999999999
17,110.1019,0.0,355.0,0.0171152,1.1099999999999999
18,110.1062,0.0,355.0,0.0171152,1.1099999999999999
19,110.1144,0.0,358.0,0.0171152,1.1099999999999999
20,110.1178,0.0,358.0,0.0171152,1.02
21,110.1225,0.0,358.0,0.0171152,1.02
22,110.1308,0.0,358.0,0.0171152,1.02
23,110.1338,0.0,358.0,0.0171152,1.05
24,110.1389,0.0,358.0,0.0171152,1.05
25,110.1471,0.0,358.0,0.0171152,1.05
26,110.1498,0.0,358.0,0.0171152,1.095
27,110.1553,0.0,358.0,0.0171152,1.095
28,110.1636,0.0,358.0,0.0171152,1.095
29,110.1821,0.0,358.0,0.0171152,1.1099999999999999
30,110.1824,0.0,358.0,0.0171152,1.1099999999999999
31,110.1826,0.0,358.0,0.0171152,1.1099999999999999
32,110.1842,0.0,358.0,0.0171152,1.1099999999999999
33,110.1923,0.0,358.0,0.0171152,1.1099999999999999
34,110.1978,0.0,358.0,0.0171152,1.1099999999999999
35,110.2005,0.0,358.0,0.0171152,1.1099999999999999
36,110.2086,0.0,358.0,0.0171152,1.1099999999999999
37,110.2138,0.0,358.0,0.0171152,1.065
38,110.2167,0.0,358.0,0.0171152,1.065
39,110.2249,0.0,358.0,0.0171152,1.065
40,110.2298,0.0,358.0,0.0171152,1.02
41,110.2331,0.0,358.0,0.0171152,1.02
42,110.2413,0.0,358.0,0.0171152,1.02
43,110.2458,0.0,358.0,0.0171152,0.975
44,110.2495,0.0,358.0,0.0171152,0.975
45,110.2577,0.0,358.0,0.0171152,0.975
46,110.2618,0.0,358.0,0.0171152,1.05
47,110.2659,0.0,358.0,0.0171152,1.05
48,110.2741,0.0,359.0,0.0171152,1.05
49,110.2823,0.0,359.0,0.0171152,1.05
50,110.2905,0.0,359.0,0.0171152,1.05
51,110.2938,0.0,359.0,0.0171152,1.02
52,110.2987,0.0,359.0,0.0171152,1.02
53,110.3069,0.0,359.0,0.0171152,1.02
54,110.3098,0.0,359.0,0.0171152,1.065
55,110.315,0.0,359.0,0.0171152,1.065
56,110.3233,0.0,359.0,0.0171152,1.065
57,110.3259,0.0,359.0,0.0171152,0.855
58,110.3315,0.0,359.0,0.0171152,0.855
59,110.3397,0.0,359.0,0.0171152,0.855
60,110.3419,0.0,359.0,0.0171152,1.065
61,110.3478,0.0,359.0,0.0171152,1.065
62,110.356,0.0,359.0,0.0171152,1.065
63,110.3578,0.0,359.0,0.0171152,1.065
64,110.3642,0.0,359.0,0.0171152,1.065
65,110.3724,0.0,359.0,0.0171152,1.065
66,110.3808,0.0,359.0,0.0171152,1.065
67,110.3888,0.0,359.0,0.0171152,1.065
68,110.3898,0.0,359.0,0.0171152,1.035
69,110.397,0.0,359.0,0.0171152,1.035
70,110.4054,0.0,359.0,0.0171152,1.035
71,110.4058,0.0,359.0,0.0171152,0.945
72,110.4136,0.0,359.0,0.0171152,0.945
73,110.4215,0.0,359.0,0.0171152,0.945
74,110.4218,0.0,359.0,0.0171152,0.855
75,110.423,0.0,359.0,0.0171152,0.855
76,110.4297,0.0,359.0,0.0171152,0.855
77,110.4379,0.0,359.0,0.0171152,0.855
78,110.4381,0.0,359.0,0.0171152,1.05
79,110.442,0.0,358.0,0.0171152,1.05
80,110.4502,0.0,358.0,0.0171152,1.05
81,110.4538,0.0,358.0,0.0171152,1.1099999999999999
82,110.4585,0.0,358.0,0.0171152,1.1099999999999999
83,110.4666,0.0,358.0,0.0171152,1.1099999999999999
84,110.4748,0.0,358.0,0.0171152,1.1099999999999999
85,110.4829,0.0,358.0,0.0171152,1.1099999999999999
86,110.4858,0.0,358.0,0.0171152,1.05
87,110.4912,0.0,358.0,0.0171152,1.05
88,110.4993,0.0,358.0,0.0171152,1.05
89,110.5018,0.0,358.0,0.0171152,1.05
90,110.5075,0.0,358.0,0.0171152,1.05
91,110.5158,0.0,358.0,0.0171152,1.05
92,110.5178,0.0,358.0,0.0171152,0.96
93,110.5239,0.0,358.0,0.0171152,0.96
94,110.5321,0.0,358.0,0.0171152,0.96
95,110.5337,0.0,358.0,0.0171152,0.99
96,110.5403,0.0,358.0,0.0171152,0.99
97,110.5485,0.0,358.0,0.0171152,0.99
98,110.5498,0.0,358.0,0.0171152,1.095
99,110.5567,0.0,358.0,0.0171152,1.095
100,110.5649,0.0,358.0,0.0171152,1.095
101,110.5818,0.0,358.0,0.0171152,1.005
102,110.5819,0.0,358.0,0.0171152,1.005
103,110.582,0.0,358.0,0.0171152,1.005
104,110.5895,0.0,358.0,0.0171152,1.005
105,110.5977,0.0,358.0,0.0171152,1.005
106,110.5978,0.0,358.0,0.0171152,1.005
107,110.6059,0.0,358.0,0.0171152,1.005
108,110.6141,0.0,360.0,0.0171152,1.005
109,110.6143,0.0,360.0,0.0171152,0.945
110,110.6222,0.0,360.0,0.0171152,0.945
111,110.6304,0.0,360.0,0.0171152,0.945
112,110.6306,0.0,360.0,0.0171152,1.065
113,110.6345,0.0,360.0,0.0171152,1.065
114,110.6428,0.0,360.0,0.0171152,1.065
115,110.6458,0.0,360.0,0.0171152,1.125
116,110.651,0.0,360.0,0.0171152,1.125
117,110.6591,0.0,360.0,0.0171152,1.125
118,110.6777,0.0,360.0,0.0171152,1.035
119,110.6779,0.0,360.0,0.0171152,1.035
120,110.678,0.0,360.0,0.0171152,1.035
121,110.6837,0.0,360.0,0.0171152,1.035
122,110.6918,0.0,360.0,0.0171152,1.035
123,110.6937,0.0,360.0,0.0171152,1.05
124,110.7,0.0,360.0,0.0171152,1.05
125,110.7082,0.0,360.0,0.0171152,1.05
126,110.7098,0.0,360.0,0.0171152,1.05
127,110.7164,0.0,360.0,0.0171152,1.05
128,110.7246,0.0,360.0,0.0171152,1.05
129,110.7257,0.0,360.0,0.0171152,1.035
130,110.7328,0.0,360.0,0.0171152,1.035
131,110.741,0.0,360.0,0.0171152,1.035
132,110.7417,0.0,360.0,0.0171152,0.96
133,110.7491,0.0,360.0,0.0171152,0.96
134,110.7574,0.0,360.0,0.0171152,0.96
