,TimeStamp,Force(N),RPM,Volts,Amps
0,110.0059,0.0,355.0,0.0171152,0.57
1,110.008,0.0,355.0,0.0171152,0.57
2,110.0161,0.0,355.0,0.0171152,0.57
3,110.0218,0.0,355.0,0.0171152,0.63
4,110.0243,0.0,355.0,0.0171152,0.63
5,110.0324,0.0,355.0,0.0171152,0.63
6,110.0378,0.0,355.0,0.0171152,0.615
7,110.0406,0.0,355.0,0.0171152,0.615
8,110.0489,0.0,355.0,0.0171152,0.615
9,110.0538,0.0,355.0,0.0171152,0.645
10,110.057,0.0,355.0,0.0171152,0.645
11,110.0652,0.0,355.0,0.0171152,0.645
12,110.086,0.0,355.0,0.0171152,0.6
13,110.0862,0.0,355.0,0.0171152,0.6
14,110.0862,0.0,356.0,0.0171152,0.6
15,110.0898,0.0,356.0,0.0171152,0.6
16,110.098,0.0,356.0,0.0171152,0.6
17,110.1019,0.0,356.0,0.0171152,0.6
18,110.1062,0.0,356.0,0.0171152,0.6
19,110.1144,0.0,356.0,0.0171152,0.6
20,110.1178,0.0,356.0,0.0171152,0.6
21,110.1225,0.0,356.0,0.0171152,0.6
22,110.1308,0.0,356.0,0.0171152,0.6
23,110.1338,0.0,356.0,0.0171152,0.585
24,110.1389,0.0,356.0,0.0171152,0.585
25,110.1471,0.0,356.0,0.0171152,0.585
26,110.1498,0.0,356.0,0.0171152,0.6
27,110.1553,0.0,356.0,0.0171152,0.6
28,110.1636,0.0,356.0,0.0171152,0.6
29,110.1821,0.0,356.0,0.0171152,0.5549999999999999
30,110.1824,0.0,356.0,0.0171152,0.5549999999999999
31,110.1826,0.0,356.0,0.0171152,0.5549999999999999
32,110.1842,0.0,356.0,0.0171152,0.5549999999999999
33,110.1923,0.0,356.0,0.0171152,0.5549999999999999
34,110.1978,0.0,356.0,0.0171152,0.6
35,110.2005,0.0,356.0,0.0171152,0.6
36,110.2086,0.0,356.0,0.0171152,0.6
37,110.2138,0.0,356.0,0.0171152,0.57
38,110.2167,0.0,356.0,0.0171152,0.57
39,110.2249,0.0,356.0,0.0171152,0.57
40,110.2298,0.0,356.0,0.0171152,0.585
41,110.2331,0.0,356.0,0.0171152,0.585
