,Force(N),RPM,Volts,Amps
0,8.05,1890.0,8.05,3.515307696003438
1,9.35,1270.0,9.35,2.8199945235496253
2,10.55,770.0,10.55,5.849987004403986
3,9.45,1110.0,9.45,2.6849933166248956
4,10.1,1030.0,10.1,2.340947370776919
5,8.7,1530.0,8.7,3.659997405517648
6,10.6,650.0,10.6,1.8614705782315752
7,9.1,1330.0,9.1,3.0749999864384705
8,8.45,1610.0,8.45,4.2149897471024005
9,9.75,1090.0,9.75,3.0300000036459895
10,10.299999999974533,910.0,10.299999999974533,2.3540802094377944
11,10.25,530.0,10.25,1.574999998758925
12,9.7,1070.0,9.7,3.8085047468347786
13,10.350011655011654,790.0,10.350011655011654,4.811547246209616
14,8.3,1850.0,8.3,5.595473684087452
15,8.5,1650.0,8.5,3.6600091069144693
16,9.75,1050.0,9.75,2.4749997534127677
17,8.5,1830.0,8.5,3.555063520738861
18,9.749999998760943,410.0,9.749999998760943,1.665348837209296
19,10.650000000000002,670.0,10.650000000000002,2.6850000000001266
20,6.700000000000007,1710.0,6.700000000000007,4.560357288068938
21,6.900000000022241,1810.0,6.900000000022241,3.944021777468335
22,10.2,930.0,10.2,2.4752241379307183
23,8.1,1790.0,8.1,4.830003035360176
24,9.6,390.0,9.6,1.2299999999999993
25,10.25,550.0,10.25,1.605249169429623
26,8.3,1930.0,8.3,3.3922499999999998
27,9.199999999999998,1410.0,9.199999999999998,3.884784172664437
28,8.84999999993381,1250.0,8.84999999993381,2.8857142689627455
29,8.95,1450.0,8.95,4.513277511961725
30,9.399999999564178,370.0,9.399999999564178,1.064990384615514
31,9.8,430.0,9.8,1.3650004336381498
32,10.5,690.0,10.5,2.0106382978742814
33,8.45,1570.0,8.45,3.4199302326592167
34,9.399038461538462,350.0,9.399038461538462,1.2000000000005198
35,8.75,310.0,8.75,0.9900000040427528
36,8.549999999999997,1590.0,8.549999999999997,3.492916666666668
37,10.5,570.0,10.5,2.159887218060437
38,8.905882352941177,1370.0,8.905882352941177,3.090200534763784
39,9.0,330.0,9.0,1.0950016108245737
40,10.35,830.0,10.35,4.205000056930916
41,9.95,450.0,9.95,1.319999974667725
42,9.3,1290.0,9.3,3.149999737673956
43,10.2,950.0,10.2,4.4550007373951495
44,10.65,710.0,10.65,1.7999995579135568
45,8.299999999999999,1670.0,8.299999999999999,6.0352272718599185
46,10.2,970.0,10.2,4.7849998700594965
47,8.6,290.0,8.6,1.3651255230131343
48,10.55,590.0,10.55,1.769882812499055
49,7.700490196078432,1510.0,7.700490196078432,3.480000010003693
50,8.95,1490.0,8.95,3.855000569824031
51,10.349999999999998,850.0,10.349999999999998,3.5850788049599895
52,8.64999999946657,1550.0,8.64999999946657,3.86998414562537
53,9.4,1230.0,9.4,4.019751659785647
54,10.099997316444826,470.0,10.099997316444826,1.4228102189781022
55,10.6,730.0,10.6,2.1299999693599285
56,8.45,1750.0,8.45,4.229988375014867
57,9.398275862068965,1210.0,9.398275862068965,4.634996582249168
58,10.200000000000001,990.0,10.200000000000001,3.499121440972222
59,8.249999999998458,1430.0,8.249999999998458,3.150000019226831
60,8.050000012797517,1690.0,8.050000012797517,5.040033614941922
61,10.5,610.0,10.5,1.650000003115917
62,8.85,1350.0,8.85,4.409131944450122
63,9.35,1190.0,9.35,2.9549963572339286
64,9.85,870.0,9.85,3.0149500447016733
65,7.75,1630.0,7.75,3.6600007226849876
66,7.0,1870.0,7.0,3.7232608624970625
67,9.6,1130.0,9.6,3.1648090523338053
68,9.05,1390.0,9.05,3.1049996115196286
69,9.75,1170.0,9.75,2.820090090095058
70,10.55,750.0,10.55,1.8900147467036779
71,9.9,1010.0,9.9,3.0393750521589524
72,10.1,510.0,10.1,1.335000000000975
73,10.55,630.0,10.55,2.235
74,8.95,1470.0,8.95,4.237556813714323
75,8.440566037735849,1730.0,8.440566037735849,3.5847170088788447
76,8.300000000000024,1910.0,8.300000000000024,3.52499995420155
77,10.149999999989884,890.0,10.149999999989884,2.7451902643683073
78,8.1,1770.0,8.1,4.740000000007189
79,9.25,1310.0,9.25,2.9102173913632274
80,10.050000039331183,490.0,10.050000039331183,1.6799734042553096
81,9.6,1150.0,9.6,2.8499999991824136
