,TimeStamp,Force(N),RPM,Volts,Amps
0,47.0016,14.8,159.0,0.0171152,2.205
1,47.0018,14.8,159.0,0.0171152,2.205
2,47.0036,14.8,159.0,0.0171152,2.205
3,47.0115,14.8,159.0,0.0171152,2.46
4,47.0117,14.8,159.0,0.0171152,2.46
5,47.02,14.8,159.0,0.0171152,2.46
6,47.0275,14.8,159.0,0.0171152,2.4299999999999997
7,47.0282,14.8,159.0,0.0171152,2.4299999999999997
8,47.0363,14.8,159.0,0.0171152,2.4299999999999997
9,47.0434,14.8,159.0,0.0171152,2.37
10,47.0445,14.8,159.0,0.0171152,2.37
11,47.0527,14.8,159.0,0.0171152,2.37
12,47.0579,14.8,159.0,0.0171152,2.37
13,47.0594,14.8,159.0,0.0171152,2.475
14,47.0609,14.8,159.0,0.0171152,2.475
15,47.0692,14.8,159.0,0.0171152,2.475
16,47.0773,14.8,159.0,0.0171152,2.475
17,47.0775,14.8,159.0,0.0171152,2.685
18,47.0855,14.8,159.0,0.0171152,2.685
19,47.0897,14.8,159.0,0.0171152,2.685
20,47.0978,14.8,159.0,0.0171152,2.685
21,47.106,14.8,159.0,0.0171152,2.685
22,47.1075,14.8,159.0,0.0171152,2.82
23,47.1141,14.8,159.0,0.0171152,2.82
24,47.1224,14.8,159.0,0.0171152,2.82
25,47.1234,14.8,159.0,0.0171152,2.73
26,47.1305,14.8,159.0,0.0171152,2.73
27,47.1387,14.8,159.0,0.0171152,2.73
28,47.1394,14.8,159.0,0.0171152,2.985
29,47.1469,14.8,159.0,0.0171152,2.985
30,47.1569,16.2,159.0,0.0171152,2.985
31,47.1571,16.2,159.0,0.0171152,3.465
32,47.1633,16.2,159.0,0.0171152,3.465
33,47.1714,16.2,159.0,0.0171152,3.225
34,47.1715,16.2,159.0,0.0171152,3.225
35,47.1797,16.2,159.0,0.0171152,3.225
36,47.1879,16.2,159.0,0.0171152,3.225
37,47.1961,16.2,159.0,0.0171152,3.225
38,47.2035,16.2,159.0,0.0171152,3.69
39,47.2042,16.2,159.0,0.0171152,3.69
40,47.2125,16.2,159.0,0.0171152,3.69
41,47.2194,16.2,159.0,0.0171152,3.945
42,47.2206,16.2,159.0,0.0171152,3.945
43,47.2288,16.2,159.0,0.0171152,3.945
44,47.2354,16.2,159.0,0.0171152,3.7649999999999997
45,47.237,16.2,159.0,0.0171152,3.7649999999999997
46,47.2453,16.2,159.0,0.0171152,3.7649999999999997
47,47.2514,16.2,159.0,0.0171152,4.109999999999999
48,47.2534,16.2,159.0,0.0171152,4.109999999999999
49,47.2616,16.2,159.0,0.0171152,4.109999999999999
50,47.2674,16.2,159.0,0.0171152,3.69
51,47.2698,16.2,194.0,0.0171152,3.69
52,47.278,16.2,194.0,0.0171152,3.69
53,47.2861,16.2,194.0,0.0171152,3.69
54,47.2943,16.2,194.0,0.0171152,3.69
55,47.2994,16.2,194.0,0.0171152,4.2
56,47.3025,16.2,194.0,0.0171152,4.2
57,47.3118,19.3,194.0,0.0171152,4.2
58,47.312,19.3,194.0,0.0171152,4.2
59,47.3189,19.3,194.0,0.0171152,4.2
60,47.319,19.3,194.0,0.0171152,3.69
61,47.3231,19.3,194.0,0.0171152,3.69
62,47.3313,19.3,194.0,0.0171152,3.69
63,47.3315,19.3,194.0,0.0171152,4.125
64,47.3395,19.3,194.0,0.0171152,4.125
65,47.3474,19.3,194.0,0.0171152,4.095
66,47.3476,19.3,194.0,0.0171152,4.095
67,47.3558,19.3,194.0,0.0171152,4.095
68,47.3634,19.3,194.0,0.0171152,4.05
69,47.364,19.3,194.0,0.0171152,4.05
70,47.3722,19.3,194.0,0.0171152,4.05
71,47.3804,19.3,194.0,0.0171152,4.05
72,47.3886,19.3,194.0,0.0171152,4.05
73,47.3954,19.3,194.0,0.0171152,3.9749999999999996
74,47.3967,19.3,194.0,0.0171152,3.9749999999999996
75,47.4049,19.3,194.0,0.0171152,3.9749999999999996
76,47.4114,19.3,194.0,0.0171152,3.9899999999999998
77,47.4131,19.3,194.0,0.0171152,3.9899999999999998
78,47.4213,19.3,194.0,0.0171152,3.9899999999999998
79,47.4296,19.3,194.0,0.0171152,3.9899999999999998
80,47.4296,19.3,194.0,0.0171152,3.9
81,47.4378,19.3,194.0,0.0171152,3.9
82,47.4459,19.3,194.0,0.0171152,3.9
83,47.446,19.3,194.0,0.0171152,3.9899999999999998
84,47.4544,19.3,194.0,0.0171152,3.9899999999999998
85,47.4623,19.3,194.0,0.0171152,3.9899999999999998
86,47.4673,21.65,194.0,0.0171152,3.06
87,47.4705,21.65,194.0,0.0171152,3.06
88,47.4789,21.65,194.0,0.0171152,3.06
89,47.4871,21.65,194.0,0.0171152,3.06
90,47.4913,21.65,194.0,0.0171152,3.06
91,47.4951,21.65,194.0,0.0171152,3.06
92,47.5032,21.65,194.0,0.0171152,3.06
93,47.5074,21.65,194.0,0.0171152,2.6999999999999997
94,47.5114,21.65,249.0,0.0171152,2.6999999999999997
95,47.5196,21.65,249.0,0.0171152,2.6999999999999997
96,47.5234,21.65,249.0,0.0171152,3.255
97,47.528,21.65,249.0,0.0171152,3.255
98,47.5364,21.65,249.0,0.0171152,3.255
99,47.5394,21.65,249.0,0.0171152,3.15
100,47.5401,21.65,249.0,0.0171152,3.15
101,47.5482,21.65,249.0,0.0171152,3.15
102,47.5554,21.65,249.0,0.0171152,2.445
103,47.5565,21.65,249.0,0.0171152,2.445
104,47.5617,21.65,249.0,0.0171152,2.445
105,47.5646,21.65,249.0,0.0171152,2.445
106,47.5728,21.65,249.0,0.0171152,2.445
107,47.581,21.65,249.0,0.0171152,2.445
108,47.5874,21.65,249.0,0.0171152,2.5349999999999997
109,47.5893,21.65,249.0,0.0171152,2.5349999999999997
110,47.5975,21.65,249.0,0.0171152,2.5349999999999997
111,47.6033,21.65,249.0,0.0171152,2.16
112,47.6056,21.65,249.0,0.0171152,2.16
113,47.6221,22.7,249.0,0.0171152,2.16
114,47.6223,22.7,249.0,0.0171152,2.19
115,47.6223,22.7,249.0,0.0171152,2.19
116,47.6303,22.7,249.0,0.0171152,2.19
117,47.6384,22.7,249.0,0.0171152,2.19
