,Force(N),RPM,Volts,Amps
0,45.199999999999996,385.0,45.199999999999996,6.663191487380996
1,50.80026427061311,515.0,50.80026427061311,8.805000165741607
2,10.3,5.0,10.3,3.5100006006651587
3,21.949999999999996,135.0,21.949999999999996,1.8150000005142548
4,37.64999999999999,265.0,37.64999999999999,4.459180325947613
5,46.25,395.0,46.25,6.450000000112348
6,55.0,525.0,55.0,8.145000000000051
7,55.0,655.0,55.0,10.634871214679
8,23.4,145.0,23.4,2.145000008852968
9,37.55,275.0,37.55,5.291792452708295
10,46.6,405.0,46.6,7.42398079763973
11,55.0,535.0,55.0,9.70686261559001
12,38.47631578947368,285.0,38.47631578947368,4.619998221823108
13,46.0,415.0,46.0,6.722830201485529
14,55.0,545.0,55.0,14.48948778536206
15,25.4,165.0,25.4,2.0250277633201157
16,39.95,295.0,39.95,4.485072195482704
17,47.25,425.0,47.25,8.969994118201225
18,55.0,555.0,55.0,14.05661780778647
19,28.64999999999834,175.0,28.64999999999834,3.3861818177146885
20,55.0,645.0,55.0,10.560038363404926
21,40.4,305.0,40.4,5.414875776531781
22,47.6,435.0,47.6,12.439200691699543
23,55.0,565.0,55.0,13.695004702481668
24,40.3,315.0,40.3,5.1748543697802045
25,55.0,575.0,55.0,12.375004353715081
26,32.0,195.0,32.0,5.971530423455218
27,41.4,325.0,41.4,5.625009168433916
28,49.19999999999978,455.0,49.19999999999978,11.2612484713771
29,55.0,585.0,55.0,12.184999982010197
30,41.35,335.0,41.35,5.850166332507667
31,42.65,345.0,42.65,5.909986273166313
32,49.2,475.0,49.2,9.510032989555993
33,55.0,605.0,55.0,11.991857143768472
34,36.09999998542061,225.0,36.09999998542061,4.8598731501052415
35,43.299999999997226,355.0,43.299999999997226,6.570033898305068
36,50.1,485.0,50.1,9.645162354130328
37,55.0,615.0,55.0,11.16352941133649
38,43.79999999999999,365.0,43.79999999999999,6.180050847480345
39,51.64999999987978,495.0,51.64999999987978,9.928149407609935
40,55.0,625.0,55.0,12.33942857307142
41,34.75074626865671,245.0,34.75074626865671,3.7049999999999996
42,44.300000000000004,375.0,44.300000000000004,6.614966692789585
43,51.65,505.0,51.65,8.61039459977824
44,55.0,635.0,55.0,11.549999717762601
45,0.0,125.0,0.0,2.233620192277274
46,34.75,255.0,34.75,4.8150000035631
