,Force(N),RPM,Volts,Amps
0,0.0,65.0,0.0,-0.03
1,0.0,515.0,0.0,-0.030004098360655738
2,0.0,645.0,0.0,-0.04454545454545455
3,0.0,455.0,0.0,-0.044400000000020236
4,0.0,585.0,0.0,-0.03026785711013305
5,0.0,215.0,0.0,-0.044999999972720216
6,0.0,525.0,0.0,-0.030000000000026013
7,0.0,655.0,0.0,-0.030000000000000002
8,0.0,145.0,0.0,-0.03
9,0.0,595.0,0.0,-0.044886363636363634
10,0.0,405.0,0.0,-0.03
11,0.0,535.0,0.0,-0.029999999999999995
12,0.0,345.0,0.0,-0.03000000494588868
13,0.0,475.0,0.0,-0.03
14,0.0,605.0,0.0,-0.03
15,0.0,185.0,0.0,-0.030000000438158335
16,0.0,545.0,0.0,-0.030000001197643865
17,0.0,315.0,0.0,-0.03
18,0.0,485.0,0.0,-0.030000000000000002
19,0.0,615.0,0.0,-0.029999999999999995
20,0.0,425.0,0.0,-0.030000001271756577
21,0.0,555.0,0.0,-0.030000000000094187
22,0.0,255.0,0.0,-0.04469387755102044
23,0.0,495.0,0.0,-0.045000000000000005
24,0.0,625.0,0.0,-0.03
25,0.0,285.0,0.0,-0.030000000000000002
26,0.0,565.0,0.0,-0.03
27,0.0,375.0,0.0,-0.03
28,0.0,505.0,0.0,-0.030000000000000002
29,0.0,635.0,0.0,-0.03
30,0.0,575.0,0.0,-0.03000000024902515
