,Force(N),RPM,Volts,Amps
0,2.3499999999999996,385.0,2.3499999999999996,-0.015
1,22.55,515.0,22.55,7.905002266357078
2,5.8,645.0,5.8,-0.015
3,21.85,585.0,21.85,7.511599999998345
4,29.299999628843377,715.0,29.299999628843377,4.210303571573166
5,24.5,525.0,24.5,7.680081080882621
6,2.35,45.0,2.35,-0.029999995995899798
7,2.35,245.0,2.35,-0.014999999999999998
8,10.59999403181045,595.0,10.59999403181045,-0.015
9,30.99999999997247,725.0,30.99999999997247,-0.0149999999800409
10,10.6,535.0,10.6,-0.014999999999999998
11,24.699999991696252,475.0,24.699999991696252,7.03749999298282
12,21.050000000000004,605.0,21.050000000000004,8.457798165154733
13,2.35,315.0,2.35,-0.015000000000000001
14,29.300000000000004,735.0,29.300000000000004,3.8100012489332897
15,23.649999999999995,545.0,23.649999999999995,9.38941259597394
16,7.9,675.0,7.9,4.7485714832084245
17,23.950000000000003,485.0,23.950000000000003,8.039997913427706
18,22.3,615.0,22.3,9.195118012422242
19,29.300000000000004,745.0,29.300000000000004,3.9771428705044403
20,19.650000000000066,555.0,19.650000000000066,8.910710494012923
21,31.0,685.0,31.0,-0.015
22,24.4,495.0,24.4,7.486970509392828
23,22.3,625.0,22.3,7.942058820150824
24,7.0,755.0,7.0,0.39950020525890473
25,2.35,155.0,2.35,-0.015000000000000001
26,20.399993550051597,565.0,20.399993550051597,8.352749790447522
27,2.35,425.0,2.35,-0.015
28,24.050000000000004,505.0,24.050000000000004,8.467500000013974
29,27.2,635.0,27.2,7.230161616592803
30,25.849999999997237,575.0,25.849999999997237,8.334079015102972
