,Force(N),RPM,Volts,Amps
0,0.0,230.0,0.0,0.4650000001043579
1,0.0,450.0,0.0,0.4799999999999999
2,0.0,310.0,0.0,0.4650012980269989
3,0.0,710.0,0.0,0.48
4,0.0,10.0,0.0,0.4650000000022865
5,0.0,650.0,0.0,0.4799999999999999
6,0.0,290.0,0.0,0.47999999572851093
7,0.0,590.0,0.0,0.48000000000000004
8,0.0,190.0,0.0,0.4799206349207005
9,0.0,530.0,0.0,0.48000000000000004
10,0.0,90.0,0.0,0.4650002488800397
11,0.0,430.0,0.0,0.48000000000000004
12,0.0,470.0,0.0,0.48
13,0.0,150.0,0.0,0.46499999999999997
14,0.0,250.0,0.0,0.46499999999999997
15,0.0,410.0,0.0,0.4799999918076846
16,0.0,730.0,0.0,0.46500000003513237
17,0.0,350.0,0.0,0.4799999999973124
18,0.0,130.0,0.0,0.47999995808182433
19,0.0,610.0,0.0,0.48
20,0.0,50.0,0.0,0.4649999999999999
21,0.0,390.0,0.0,0.47999999567232227
22,0.0,550.0,0.0,0.46499999999999997
23,0.0,210.0,0.0,0.4799999999999999
24,0.0,490.0,0.0,0.48
25,0.0,110.0,0.0,0.46500000320123325
26,0.0,690.0,0.0,0.4799999999999999
27,0.0,750.0,0.0,0.4799999999999999
28,0.0,370.0,0.0,0.48
29,0.0,670.0,0.0,0.4650000169219627
30,0.0,630.0,0.0,0.47996063046799053
31,0.0,170.0,0.0,0.4799999896034333
32,0.0,570.0,0.0,0.4798897180762852
33,0.0,270.0,0.0,0.4799999999999999
34,0.0,330.0,0.0,0.4798905228754697
35,0.0,510.0,0.0,0.4651293103448275
